Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,embryo_type,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,embryo_type_in_silico,methods,antibody,Developmental_Stage,tissue,need
SRR24442082,RNA-Seq,302,2515024290,PRJNA967384,SAMN34590209,1069640843,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2PN,SRX20229463,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299840,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:22:00Z,1,GSM7299840,a single two cell embryo,SRP436012,C57BL/6 xJF1/Ms,2PN,RNA-seq,,,,1
SRR24442083,RNA-Seq,302,2368704988,PRJNA967384,SAMN34590210,1005745452,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2PN,SRX20229462,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299839,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:20:00Z,1,GSM7299839,a single two cell embryo,SRP436012,C57BL/6 xJF1/Ms,2PN,RNA-seq,,,,1
SRR24442084,RNA-Seq,302,2416893920,PRJNA967384,SAMN34590211,1015987450,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2PN,SRX20229461,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299838,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:23:00Z,1,GSM7299838,a single two cell embryo,SRP436012,C57BL/6 xJF1/Ms,2PN,RNA-seq,,,,1
SRR24442085,RNA-Seq,302,2496822146,PRJNA967384,SAMN34590212,1051711862,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2PN,SRX20229460,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299837,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:24:00Z,1,GSM7299837,a single two cell embryo,SRP436012,C57BL/6 xJF1/Ms,2PN,RNA-seq,,,,1
SRR24442086,RNA-Seq,302,2329004370,PRJNA967384,SAMN34590213,982998232,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",2PN,SRX20229459,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299836,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:31:00Z,1,GSM7299836,a single two cell embryo,SRP436012,C57BL/6 xJF1/Ms,2PN,RNA-seq,,,,1
SRR24442087,RNA-Seq,302,2321835494,PRJNA967384,SAMN34590214,981185136,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",2PN,SRX20229458,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299835,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:23:00Z,1,GSM7299835,a single two cell embryo,SRP436012,C57BL/6 xJF1/Ms,2PN,RNA-seq,,,,1
SRR24442088,RNA-Seq,302,2152918438,PRJNA967384,SAMN34590215,894722032,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",2PN,SRX20229457,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299834,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:23:00Z,1,GSM7299834,a single two cell embryo,SRP436012,C57BL/6 xJF1/Ms,2PN,RNA-seq,,,,1
SRR24442089,RNA-Seq,302,2409743768,PRJNA967384,SAMN34590216,1017671865,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",1PN,SRX20229456,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299833,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:22:00Z,1,GSM7299833,a single two cell embryo,SRP436012,C57BL/6 xJF1/Ms,Parthenote,RNA-seq,,,,0
SRR24442090,RNA-Seq,302,2402584556,PRJNA967384,SAMN34590217,1015284732,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",1PN,SRX20229435,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299832,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:23:00Z,1,GSM7299832,a single two cell embryo,SRP436012,C57BL/6 xJF1/Ms,1PN,RNA-seq,,,,0
SRR24442091,RNA-Seq,151,2187173241,PRJNA967384,SAMN34590258,938993525,"AGRICULTURAL SCIENCE, KOBE UNIVERSITY",missing,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2PN,SRX20229454,uncalculated,uncalculated,missing,HiSeq X Ten,GSM7299791,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-02-24T00:00:00Z,2023-05-04T20:24:00Z,1,GSM7299791,a single two cell embryo,SRP436012,JF1/MsxC57BL/6,2PN,RNA-seq,,,,1
