Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,create_date,version,chip_antibody,chip_antibody_vendor,tissue/cell_type,Developmental_Stage,,need
SRR3620825,ChIP-Seq,202,5457718416,PRJNA309055,SAMN05196278,2463470524,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1816625,GSM2184778,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2184778,Preimplantation embryo,SRP068549,C57BL/6N x PWK,2016-06-02T10:28:00Z,1,H3K27Me3,ActiveMotif,,Preimplantation embryo,,0
SRR3620826,ChIP-Seq,252,3534730668,PRJNA309055,SAMN05196278,1836823650,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1816625,GSM2184778,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2184778,Preimplantation embryo,SRP068549,C57BL/6N x PWK,2016-06-02T10:26:00Z,1,H3K27Me3,ActiveMotif,,Preimplantation embryo,,0
SRR4022242,ChIP-Seq,202,3373323240,PRJNA309055,SAMN04419963,2247951634,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533823,GSM2041074,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041074,Preimplantation embryo,SRP068549,C57BL/6N x PWK,2016-08-12T10:15:00Z,1,H3K27Me3,Diagenode,Preimplantation embryo,,,1
SRR4022243,ChIP-Seq,202,10606100294,PRJNA309055,SAMN04419967,6250096110,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533827,GSM2041078,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041078,Inner cell mass,SRP068549,C57BL/6N x PWK,2016-08-12T10:16:00Z,1,H3K27Me3,Diagenode,Inner cell mass,,,1
SRR4022244,ChIP-Seq,252,2470868820,PRJNA309055,SAMN04419967,1095282917,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533827,GSM2041078,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041078,Inner cell mass,SRP068549,C57BL/6N x PWK,2016-08-12T10:05:00Z,1,H3K27Me3,Diagenode,Inner cell mass,,,1
SRR4022250,ChIP-Seq,202,6984446132,PRJNA309055,SAMN04419971,4500474155,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533831,GSM2041082,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041082,E6.5 epiblast,SRP068549,C57BL/6N x PWK,2016-08-12T10:25:00Z,1,H3K27Me3,Diagenode,E6.5 epiblast,,,1
SRR4022251,ChIP-Seq,252,17055787392,PRJNA309055,SAMN04419971,6474662741,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533831,GSM2041082,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041082,E6.5 epiblast,SRP068549,C57BL/6N x PWK,2016-08-12T10:28:00Z,1,H3K27Me3,Diagenode,E6.5 epiblast,,,1
SRR4022252,ChIP-Seq,202,1908991102,PRJNA309055,SAMN04419972,1102274145,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533832,GSM2041083,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041083,E6.5 epiblast,SRP068549,C57BL/6N x PWK,2016-08-12T10:02:00Z,1,H3K27Me3,Diagenode,E6.5 epiblast,,,1
SRR3105392,ChIP-Seq,252,929242440,PRJNA309055,SAMN04419955,351675003,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533815,GSM2041066,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041066,Mature sperm,SRP068549,PWK,2016-01-18T09:56:00Z,1,H3K27Me3,Diagenode,Mature sperm,,,1
SRR3105409,ChIP-Seq,252,31619946960,PRJNA309055,SAMN04419966,11919820988,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533826,GSM2041077,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041077,Preimplantation embryo,SRP068549,C57BL/6N x PWK,2016-01-18T11:03:00Z,1,H3K27Me3,Diagenode,Preimplantation embryo,,,1
SRR4022245,ChIP-Seq,101,3714146124,PRJNA309055,SAMN04419967,2511672139,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533827,GSM2041078,Illumina HiSeq 1500,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041078,Inner cell mass,SRP068549,C57BL/6N x PWK,2016-08-12T10:13:00Z,1,H3K27Me3,Diagenode,Inner cell mass,,,0
SRR4022246,ChIP-Seq,202,4329806774,PRJNA309055,SAMN04419968,2504458709,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533828,GSM2041079,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041079,Inner cell mass,SRP068549,C57BL/6N x PWK,2016-08-12T10:17:00Z,1,H3K27Me3,Diagenode,Inner cell mass,,,1
SRR4022247,ChIP-Seq,252,10574434080,PRJNA309055,SAMN04419968,3990999841,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533828,GSM2041079,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041079,Inner cell mass,SRP068549,C57BL/6N x PWK,2016-08-12T10:36:00Z,1,H3K27Me3,Diagenode,Inner cell mass,,,1
SRR4022248,ChIP-Seq,202,6329155102,PRJNA309055,SAMN04419969,3728174365,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533829,GSM2041080,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041080,E5.5 epiblast,SRP068549,C57BL/6N x PWK,2016-08-12T10:13:00Z,1,H3K27Me3,Diagenode,E5.5 epiblast,,,1
SRR4022249,ChIP-Seq,252,12896470944,PRJNA309055,SAMN04419969,5165630911,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533829,GSM2041080,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041080,E5.5 epiblast,SRP068549,C57BL/6N x PWK,2016-08-12T10:30:00Z,1,H3K27Me3,Diagenode,E5.5 epiblast,,,1
SRR4022253,ChIP-Seq,252,5803237188,PRJNA309055,SAMN04419972,2318554929,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1533832,GSM2041083,Illumina HiSeq 1500,PAIRED,ChIP,GENOMIC,Mus musculus,ILLUMINA,2016-09-15T00:00:00Z,GSM2041083,E6.5 epiblast,SRP068549,C57BL/6N x PWK,2016-08-12T10:12:00Z,1,H3K27Me3,Diagenode,E6.5 epiblast,,,1
